job_id,user,partition,state,submit,start,end,elapsed,queuetime,alloccpus,cputime,cpueff,reqmem,maxrss,memeff,exitcode
105252,gw2965,nodes,CANCELLED,2026-08-05T14:20:18Z,2026-08-05T14:20:18Z,2026-08-05T19:00:45Z,16827s,0.0s,1,0.2643s,0.0016%,8022.0MB,2.3125MB,0.0288%,0
105253,gw2965,nodes,FAILED,2026-08-05T14:20:36Z,2026-08-05T14:20:37Z,2026-08-05T14:33:39Z,782s,1.0s,8,101.9806s,1.6301%,0.0MB,1519.51171875MB,0.0%,0
105407,gw2965,nodes,FAILED,2026-08-05T14:23:21Z,2026-08-05T14:23:24Z,2026-08-05T14:23:25Z,1s,3.0s,1,1.48s,147.998%,0.0MB,0.0MB,0.0%,0
105408,gw2965,nodes,FAILED,2026-08-05T14:23:22Z,2026-08-05T14:23:24Z,2026-08-05T14:23:28Z,4s,2.0s,2,9.3795s,117.2442%,0.0MB,0.0MB,0.0%,0
105409,gw2965,nodes,FAILED,2026-08-05T14:23:23Z,2026-08-05T14:23:24Z,2026-08-05T14:23:28Z,4s,1.0s,2,9.3992s,117.4895%,0.0MB,0.0MB,0.0%,0
105435,gw2965,nodes,FAILED,2026-08-05T14:23:49Z,2026-08-05T14:23:51Z,2026-08-05T14:23:56Z,5s,2.0s,2,9.6138s,96.1382%,0.0MB,0.0MB,0.0%,0
105436,gw2965,nodes,FAILED,2026-08-05T14:23:50Z,2026-08-05T14:23:51Z,2026-08-05T14:23:56Z,5s,1.0s,2,9.4611s,94.611%,0.0MB,0.0MB,0.0%,0
105437,gw2965,nodes,FAILED,2026-08-05T14:23:52Z,2026-08-05T14:23:54Z,2026-08-05T14:24:08Z,14s,2.0s,2,10.8323s,38.6866%,0.0MB,0.0MB,0.0%,0
105438,gw2965,nodes,FAILED,2026-08-05T14:23:53Z,2026-08-05T14:23:54Z,2026-08-05T14:24:08Z,14s,1.0s,2,11.2382s,40.1366%,0.0MB,0.0MB,0.0%,0
105439,gw2965,nodes,FAILED,2026-08-05T14:23:53Z,2026-08-05T14:23:54Z,2026-08-05T14:24:08Z,14s,1.0s,2,10.8843s,38.8726%,0.0MB,0.0MB,0.0%,0
105440,gw2965,nodes,FAILED,2026-08-05T14:23:54Z,2026-08-05T14:23:57Z,2026-08-05T14:24:10Z,13s,3.0s,2,11.6914s,44.9671%,0.0MB,0.0MB,0.0%,0
105441,gw2965,nodes,FAILED,2026-08-05T14:23:56Z,2026-08-05T14:23:57Z,2026-08-05T14:24:09Z,12s,1.0s,2,11.3683s,47.3677%,0.0MB,0.0MB,0.0%,0
105442,gw2965,nodes,FAILED,2026-08-05T14:23:57Z,2026-08-05T14:23:57Z,2026-08-05T14:24:10Z,13s,0.0s,2,11.7173s,45.0664%,0.0MB,0.0MB,0.0%,0
105443,gw2965,nodes,FAILED,2026-08-05T14:23:57Z,2026-08-05T14:24:00Z,2026-08-05T14:24:10Z,10s,3.0s,2,10.8234s,54.1168%,0.0MB,0.0MB,0.0%,0
105445,gw2965,nodes,FAILED,2026-08-05T14:24:00Z,2026-08-05T14:24:00Z,2026-08-05T14:24:10Z,10s,0.0s,2,11.0405s,55.2025%,0.0MB,0.0MB,0.0%,0
105447,gw2965,nodes,CANCELLED,2026-08-05T15:02:03Z,2026-08-05T15:02:03Z,2026-08-05T16:47:58Z,6355s,0.0s,8,107.3073s,0.2111%,0.0MB,1557.98828125MB,0.0%,0
105462,gw2965,nodes,CANCELLED,2026-08-05T15:02:38Z,2026-08-05T15:02:38Z,2026-08-05T16:47:59Z,6321s,0.0s,1,6288.0352s,99.4785%,0.0MB,27666.6484375MB,0.0%,0
105480,gw2965,nodes,CANCELLED,2026-08-05T16:09:33Z,2026-08-05T16:09:33Z,2026-08-05T16:47:59Z,2306s,0.0s,10,20897.0323s,90.6203%,0.0MB,7410.765625MB,0.0%,0
105481,gw2965,nodes,CANCELLED,2026-08-05T16:09:34Z,2026-08-05T16:09:36Z,2026-08-05T16:47:59Z,2303s,2.0s,10,21116.0309s,91.6892%,0.0MB,7412.21484375MB,0.0%,0
105485,gw2965,nodes,FAILED,2026-08-05T16:36:05Z,2026-08-05T16:36:05Z,2026-08-05T16:36:33Z,28s,0.0s,1,40.0945s,143.1948%,0.0MB,0.0MB,0.0%,0
105486,gw2965,nodes,CANCELLED,2026-08-05T16:48:06Z,2026-08-05T16:48:07Z,2026-08-05T19:00:25Z,7938s,1.0s,8,114.306s,0.18%,0.0MB,1565.23046875MB,0.0%,0
105487,gw2965,nodes,CANCELLED,2026-08-05T16:48:27Z,2026-08-05T16:48:27Z,2026-08-05T19:00:27Z,7920s,0.0s,1,6783.0349s,85.6444%,0.0MB,29671.25MB,0.0%,0
105525,gw2965,nodes,FAILED,2026-08-05T17:40:10Z,2026-08-05T17:40:12Z,2026-08-05T18:15:55Z,2143s,2.0s,2,14776.5824s,344.7639%,0.0MB,597.53125MB,0.0%,0
105541,gw2965,nodes,FAILED,2026-08-05T17:40:27Z,2026-08-05T17:40:27Z,2026-08-05T17:41:16Z,49s,0.0s,2,37.2891s,38.0501%,0.0MB,21.21484375MB,0.0%,0
105542,gw2965,nodes,FAILED,2026-08-05T17:40:27Z,2026-08-05T17:40:27Z,2026-08-05T17:41:13Z,46s,0.0s,2,36.8639s,40.0694%,0.0MB,21.1328125MB,0.0%,0
105543,gw2965,nodes,FAILED,2026-08-05T17:40:28Z,2026-08-05T17:40:30Z,2026-08-05T17:41:17Z,47s,2.0s,2,38.7295s,41.2016%,0.0MB,35.62109375MB,0.0%,0
105544,gw2965,nodes,FAILED,2026-08-05T17:40:29Z,2026-08-05T17:40:30Z,2026-08-05T17:41:17Z,47s,1.0s,2,38.4071s,40.8587%,0.0MB,35.8359375MB,0.0%,0
105546,gw2965,nodes,FAILED,2026-08-05T19:00:10Z,2026-08-05T19:00:12Z,2026-08-05T19:00:17Z,5s,2.0s,8,21.9782s,54.9456%,0.0MB,0.0MB,0.0%,0
105547,gw2965,nodes,FAILED,2026-08-05T19:00:48Z,2026-08-05T19:00:48Z,2026-08-05T19:13:56Z,788s,0.0s,8,104.9653s,1.6651%,0.0MB,1479.43359375MB,0.0%,0
105728,gw2965,nodes,FAILED,2026-08-05T19:03:59Z,2026-08-05T19:04:00Z,2026-08-05T19:04:03Z,3s,1.0s,2,8.7738s,146.2293%,0.0MB,0.0MB,0.0%,0
105730,gw2965,nodes,FAILED,2026-08-05T19:04:02Z,2026-08-05T19:04:03Z,2026-08-05T19:04:10Z,7s,1.0s,2,10.1906s,72.7897%,0.0MB,0.0MB,0.0%,0
105731,gw2965,nodes,FAILED,2026-08-05T19:04:03Z,2026-08-05T19:04:03Z,2026-08-05T19:04:10Z,7s,0.0s,2,10.1301s,72.3577%,0.0MB,0.0MB,0.0%,0
105732,gw2965,nodes,FAILED,2026-08-05T19:04:04Z,2026-08-05T19:04:06Z,2026-08-05T19:04:17Z,11s,2.0s,2,10.9395s,49.7248%,0.0MB,0.0MB,0.0%,0
105733,gw2965,nodes,FAILED,2026-08-05T19:04:04Z,2026-08-05T19:04:06Z,2026-08-05T19:04:17Z,11s,2.0s,2,11.129s,50.5866%,0.0MB,0.0MB,0.0%,0
105734,gw2965,nodes,FAILED,2026-08-05T19:04:06Z,2026-08-05T19:04:06Z,2026-08-05T19:04:17Z,11s,0.0s,2,10.9106s,49.5936%,0.0MB,0.0MB,0.0%,0
105735,gw2965,nodes,FAILED,2026-08-05T19:04:07Z,2026-08-05T19:04:09Z,2026-08-05T19:04:11Z,2s,2.0s,1,1.3863s,69.3147%,0.0MB,0.0MB,0.0%,0
105736,gw2965,nodes,FAILED,2026-08-05T19:04:08Z,2026-08-05T19:04:09Z,2026-08-05T19:04:20Z,11s,1.0s,2,10.87s,49.4089%,0.0MB,0.0MB,0.0%,0
105737,gw2965,nodes,FAILED,2026-08-05T19:04:09Z,2026-08-05T19:04:09Z,2026-08-05T19:04:20Z,11s,0.0s,2,10.8768s,49.44%,0.0MB,0.0MB,0.0%,0
105738,gw2965,nodes,FAILED,2026-08-05T19:04:09Z,2026-08-05T19:04:12Z,2026-08-05T19:04:23Z,11s,3.0s,2,10.5661s,48.0275%,0.0MB,0.0MB,0.0%,0
105739,gw2965,nodes,FAILED,2026-08-05T19:04:11Z,2026-08-05T19:04:12Z,2026-08-05T19:04:23Z,11s,1.0s,2,10.6255s,48.2977%,0.0MB,0.0MB,0.0%,0
105740,gw2965,nodes,FAILED,2026-08-05T19:04:12Z,2026-08-05T19:04:12Z,2026-08-05T19:04:23Z,11s,0.0s,2,10.6579s,48.445%,0.0MB,0.0MB,0.0%,0
105741,gw2965,nodes,CANCELLED,2026-08-05T19:19:41Z,2026-08-05T19:19:41Z,2026-08-05T19:54:59Z,2118s,0.0s,8,104.3067s,0.6156%,0.0MB,1570.671875MB,0.0%,0
105742,gw2965,nodes,CANCELLED,2026-08-05T19:20:00Z,2026-08-05T19:20:00Z,2026-08-05T19:54:59Z,2099s,0.0s,1,2059.0341s,98.096%,0.0MB,25105.23828125MB,0.0%,0
105747,gw2965,nodes,FAILED,2026-08-05T19:20:05Z,2026-08-05T19:20:06Z,2026-08-05T19:25:24Z,318s,1.0s,2,14683.4999s,2308.7264%,0.0MB,600.55078125MB,0.0%,0
