job_id,user,partition,state,submit,start,end,elapsed,queuetime,alloccpus,cputime,cpueff,reqmem,maxrss,memeff,exitcode
105247,alces-cluster,nodes,COMPLETED,2026-08-05T09:13:31Z,2026-08-05T09:13:31Z,2026-08-05T09:13:31Z,0s,0.0s,1,0.0029s,0.0%,8022.0MB,0.0MB,0.0%,0
105248,alces-cluster,nodes,COMPLETED,2026-08-05T09:13:31Z,2026-08-05T09:13:31Z,2026-08-05T09:13:31Z,0s,0.0s,1,0.0026s,0.0%,8022.0MB,0.0MB,0.0%,0
105249,alces-cluster,nodes,COMPLETED,2026-08-05T09:13:31Z,2026-08-05T09:13:31Z,2026-08-05T09:13:31Z,0s,0.0s,1,0.0036s,0.0%,8022.0MB,0.0MB,0.0%,0
105250,alces-cluster,nodes,COMPLETED,2026-08-05T09:17:24Z,2026-08-05T09:17:24Z,2026-08-05T09:17:31Z,7s,0.0s,1,6.9117s,98.739%,8022.0MB,0.0MB,0.0%,0
105251,alces-cluster,nodes,COMPLETED,2026-08-05T09:19:11Z,2026-08-05T09:19:12Z,2026-08-05T09:19:13Z,1s,1.0s,1,0.0047s,0.4714%,8022.0MB,0.0MB,0.0%,0
105252,gw2965,nodes,CANCELLED,2026-08-05T14:20:18Z,2026-08-05T14:20:18Z,2026-08-05T19:00:45Z,16827s,0.0s,1,0.2643s,0.0016%,8022.0MB,2.3125MB,0.0288%,0
105253,gw2965,nodes,FAILED,2026-08-05T14:20:36Z,2026-08-05T14:20:37Z,2026-08-05T14:33:39Z,782s,1.0s,8,101.9806s,1.6301%,0.0MB,1519.51171875MB,0.0%,0
105254,gw2965,nodes,COMPLETED,2026-08-05T14:20:49Z,2026-08-05T14:20:50Z,2026-08-05T14:20:50Z,0s,1.0s,1,0.744s,0.0%,0.0MB,0.0MB,0.0%,0
105255,gw2965,nodes,COMPLETED,2026-08-05T14:20:49Z,2026-08-05T14:20:50Z,2026-08-05T14:20:50Z,0s,1.0s,1,0.7218s,0.0%,0.0MB,0.0MB,0.0%,0
105256,gw2965,nodes,COMPLETED,2026-08-05T14:20:50Z,2026-08-05T14:20:53Z,2026-08-05T14:20:53Z,0s,3.0s,1,0.7895s,0.0%,0.0MB,0.0MB,0.0%,0
105257,gw2965,nodes,COMPLETED,2026-08-05T14:20:51Z,2026-08-05T14:20:53Z,2026-08-05T14:20:53Z,0s,2.0s,1,0.7634s,0.0%,0.0MB,0.0MB,0.0%,0
105258,gw2965,nodes,COMPLETED,2026-08-05T14:20:52Z,2026-08-05T14:20:53Z,2026-08-05T14:20:53Z,0s,1.0s,1,0.7643s,0.0%,0.0MB,0.0MB,0.0%,0
105259,gw2965,nodes,COMPLETED,2026-08-05T14:20:53Z,2026-08-05T14:20:56Z,2026-08-05T14:20:56Z,0s,3.0s,1,0.7632s,0.0%,0.0MB,0.0MB,0.0%,0
